epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
35,408.424,0.99795,0.42207,1.04538,0.85792,0.82918,0.86456,0.47624,1.37717,0.65805,1.09621,0.003268,0.003268,0.003268
36,787.09,0.99494,0.4218,1.04429,0.86354,0.82962,0.86537,0.47699,1.36974,0.65442,1.09129,0.00307,0.00307,0.00307
37,1164.57,0.99316,0.42198,1.04532,0.86299,0.82772,0.86341,0.47673,1.37112,0.65498,1.0911,0.002872,0.002872,0.002872
38,1548.09,0.98559,0.41475,1.03848,0.86455,0.82772,0.86499,0.47812,1.37295,0.65597,1.09107,0.002674,0.002674,0.002674
39,1933,0.97771,0.41118,1.03734,0.86446,0.82581,0.86414,0.47795,1.37199,0.65324,1.09079,0.002476,0.002476,0.002476
40,2320.15,0.97219,0.40718,1.03582,0.86789,0.82581,0.86575,0.4784,1.3723,0.65286,1.08959,0.002278,0.002278,0.002278
41,2734.17,0.95925,0.37051,1.05401,0.86687,0.82377,0.86435,0.47795,1.3732,0.65091,1.08957,0.00208,0.00208,0.00208
42,3112.09,0.94581,0.36233,1.05129,0.86307,0.82454,0.86145,0.47682,1.37252,0.65228,1.08967,0.001882,0.001882,0.001882
43,3492.01,0.9356,0.35767,1.04635,0.86333,0.82326,0.85969,0.4767,1.37287,0.65319,1.09033,0.001684,0.001684,0.001684
44,3877.48,0.92567,0.35343,1.04101,0.8632,0.82236,0.85915,0.47688,1.37302,0.65523,1.09135,0.001486,0.001486,0.001486
45,4261.38,0.91503,0.34762,1.03839,0.86118,0.82428,0.85818,0.47683,1.37469,0.65574,1.09279,0.001288,0.001288,0.001288
46,4636.82,0.90658,0.34316,1.03031,0.85947,0.82425,0.85593,0.47726,1.37516,0.65441,1.0934,0.00109,0.00109,0.00109
47,5013.07,0.89322,0.33819,1.02543,0.85961,0.82523,0.85462,0.47613,1.37485,0.65566,1.093,0.000892,0.000892,0.000892
48,5390.1,0.88511,0.33376,1.02266,0.86084,0.82585,0.85501,0.47543,1.3755,0.65619,1.09338,0.000694,0.000694,0.000694
49,5765.31,0.87795,0.32978,1.01906,0.86052,0.8239,0.85378,0.47554,1.37635,0.65684,1.09397,0.000496,0.000496,0.000496
50,6141.37,0.86755,0.32638,1.01472,0.86029,0.82205,0.8537,0.47537,1.37783,0.65683,1.0943,0.000298,0.000298,0.000298
