epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.89517,2.17218,4.69484,2.37462,0.40588,0.32258,0.30191,0.10766,2.35277,6.41569,3.05217,0.00012,0.00012,0.00012
2,6.78855,1.61393,2.6316,1.87662,0.98378,0.83871,0.97516,0.46944,1.40655,3.71327,1.81106,0.000257426,0.000257426,0.000257426
3,9.85504,1.29172,1.58489,1.52485,0.03052,0.77419,0.02723,0.00823,1.88451,8.53917,2.29248,0.00039208,0.00039208,0.00039208
4,18.2168,1.20399,1.29422,1.41442,0.9123,0.6129,0.66335,0.38165,1.46162,9.85841,1.78078,0.000523962,0.000523962,0.000523962
5,20.674,1.19497,1.09122,1.44337,0.60675,0.3871,0.4971,0.25649,1.6429,2.62361,1.90055,0.000653072,0.000653072,0.000653072
6,22.9279,1.18819,0.98556,1.39842,0.89916,0.67742,0.80954,0.54677,1.23122,1.63437,1.62061,0.00077941,0.00077941,0.00077941
7,25.1823,1.14085,0.89402,1.37542,0.62891,0.58065,0.61083,0.21835,2.01876,3.62673,2.42655,0.000902976,0.000902976,0.000902976
8,27.392,1.14447,0.86202,1.36202,0.04238,0.58065,0.03341,0.01033,2.46444,48.9043,3.18979,0.00102377,0.00102377,0.00102377
9,29.5408,1.09564,0.82437,1.35425,0.80016,0.77501,0.79444,0.26588,2.2481,2.57033,2.98998,0.00114179,0.00114179,0.00114179
10,31.7117,1.10761,0.79061,1.33122,0.83183,0.83871,0.83971,0.32946,1.95052,1.43352,2.48478,0.00125704,0.00125704,0.00125704
11,33.8197,1.13075,0.79159,1.36234,0.68668,0.70968,0.68206,0.18354,2.73262,1.66014,4.18362,0.00136952,0.00136952,0.00136952
12,37.1428,1.08826,0.72123,1.32506,0.29516,0.66202,0.33778,0.09547,2.59218,8.19744,3.21492,0.00147923,0.00147923,0.00147923
13,39.9688,1.1448,0.75309,1.39141,0.67913,0.61454,0.62989,0.20361,2.55556,2.57009,3.78743,0.00158616,0.00158616,0.00158616
14,42.7897,1.14687,0.76993,1.39579,0.56022,0.74194,0.56572,0.24658,2.01236,2.22792,2.3059,0.00169032,0.00169032,0.00169032
15,46.0237,1.06895,0.7534,1.32628,0.72079,0.8329,0.79048,0.39969,1.50529,1.70372,1.96426,0.0017228,0.0017228,0.0017228
16,48.9651,1.08523,0.71056,1.35704,0.63503,0.54839,0.64803,0.24116,2.35501,2.83034,2.74218,0.001703,0.001703,0.001703
17,51.7959,1.09218,0.71853,1.34738,0.45462,0.41935,0.42569,0.13758,2.57555,2.70657,3.13864,0.0016832,0.0016832,0.0016832
18,54.492,1.09451,0.72235,1.35551,0.57568,0.77419,0.70349,0.20964,2.4193,2.0655,3.24758,0.0016634,0.0016634,0.0016634
19,57.3053,1.13414,0.73147,1.37865,0.74584,0.77419,0.77289,0.35319,1.60055,2.17734,2.12531,0.0016436,0.0016436,0.0016436
20,60.2448,1.03752,0.65886,1.29191,0.42367,0.64036,0.47432,0.13576,2.40582,4.0147,2.62988,0.0016238,0.0016238,0.0016238
21,62.965,1.00093,0.61574,1.27152,0.43114,0.74194,0.46175,0.13224,2.25392,3.26356,2.50696,0.001604,0.001604,0.001604
